,review,rating,date,country
0,"✅ Trip Verified |  Do not fly with Emirates if you don’t like to be squashed by obese passengers.  I pay full price and more for a flex ticket, but I only get 3/4 of a seat as the obese person next to me far is overflowing into my chair.  When I insisted to be moved to another chair it took the staff 15 minutes for the cabin staff to even respond to my calls, they were too busy chatting at the crew area, I was watching them. I had to press the crew call button on and off over 20 times, that’s no exaggeration, before someone came to ask me what I wanted. After pointing out what was going on I was moved to the chair closest to the toilet, almost in the toilet, I could hear everything inside the bathroom. The seat they put me in sticks out into the aisle so every time the air hostess would walk past they would knock my chair, completely lacking awareness or care for the passengers. They really don’t care. it’s difficult to imagine a more incompetent bunch of cabin staff and management controlling an airline. It is 100% the last time I’ll ever consider flying Emirates. I didnt even have have space to even eat my meal so I couldn’t ask for my dinner I couldn’t rest without being leaned on and knocked constantly by the customer overflowing into my chair. This is absolutely unacceptable. ",5,20th March 2024,Thailand
1,"✅ Trip Verified |  Had perishable item, the airline sent is as special luggage and left it behind. As it was a item of importance to me and I was very sad that it was left behind. Very disappointed with Emirates",1,17th March 2024,United Arab Emirates
2,"✅ Trip Verified |  I book my flight from Emirates for my 2 kids me and my wife, paid amount from my card to Emirates. the flight was from Riyadh to Islamabad via Dubai. Departure time from Riyadh was 4:25 PM on 9th of march and arrival time was 7:10 Pm on same date in dubai airport. the 2 hour stay and then departure from Dubai at 9:10 PM same date and arrival 1:30 AM 10th of march. We were handed over to Flydubai from emirates  which was strange bu Ok we did boarding and got notification that flight is delayed.. Total delay in Riyadh was 4 and half hours and reached very late to Dubai airport and the connecting flight were missed. We approach to emirates counter and they rudely refuse to provide us any service because we were having flydubai boarding passes and told us to deal with Flydubai. Long story short we were dealt with like animals for 18 hours in airport and depart to another airport which were around 700 KM away from our  ticketed airport and does not provide any transfortatin from that airport. The car were arranged by us which cost us around 250$. I will never recommend Emirates and flydubai to anyone.",1,13th March 2024,Pakistan
3,"✅ Trip Verified |  The service provided is absolutely unacceptable and beyond what I’ve ever experienced. The flight from Lisbon to Dubai was delayed by 3 hrs. Connecting flight to Phuket was missed due to that which of course can happen but there was zero handling of the situation in Dubai - it took 4,5 hours at the airport standing in lines to get a new boarding pass and a hotel voucher. Before that no information at all. After all this they take you to a hotel which is 30 minutes away from the airport without telling before which hotel and where it is - arriving at the hotel another long waiting session and then no one can say when the shuttle bus is going back to the airport - we don’t have that information, end of conversation! Zero information. Zero service. I booked seats on the flight in advance to be able to rest and in the email about the new flight it said the booked seat will remain for the new flight but that is not the case at all. So now instead of my paid window seat I’m sitting straight in the middle. All the service chat tells you is to file a complaint. Also I paid for a hotel in Phuket that I don’t get to use. This was by far the worst I’ve ever experienced by any airline. It’s such a joke, the way they treat people, their customers. Especially at the airport- no one cared at all for all of the travelers facing this situation. Everyone was treated with pure ignorance. Biggest mistreatment and miss organization ever! Don’t book this airline!",1,10th March 2024,Germany
4,"✅ Trip Verified |  We choose the twin seats at back of plane as this is a long flight and paid for them, well worth the extra on this long flight.The captain kept us updated on turbulence and seatbelt reminder throughout flight. Cabin crew professional and available when needed, plenty of drinks available. Have flown Emirates since 2012 when flying to Europe never had a bad experience, always Economy but been fortunate to be offered upgrade x2. Gluten free meals the best.",1,9th March 2024,Australia
5,✅ Trip Verified |  Venice to Dubai. My husband & I checked in online 48 hours before departure. Arrived at Venice Marco Polo Airport and took the online check-in line which was very short. The Emirates check-in was very good and answered our questions about our onward flight when arriving in Dubai further connection which was with Qantas to regional airport. We were surprised when given all three boarding passes for continuation to final destination with Qantas Chose aisle seats C/D as far back as possible. Flight was excellent with multilingual crew and co pilot Australian Captain from El Salvador. Always fly to & from to Europe with Emirates well looked after and the best gluten free meals. Arrived on time.,10,8th March 2024,Australia
6,"✅ Trip Verified |  Our BKK-DXB flight was delayed for 18 hours and as a result we missed our DXB WAW connecting flight. We were offered a long flight with one more transfer DXX-LJU - WAW no longer on Emirates and FlyDubai on budget airlines where the standard was far below expectations. Unfortunately, because of Emirates we also missed the next transfer and instead of 16 hours our journey lasted over 60 hours. The worst thing is that the Emirates hotline showed no interest in our problems. We personally had to nervously look for connections to WAW. I filed a complaint, but Emirates did not respond. They awarded bonus miles instead, but I never want to use Emirates again. It is certainly not a premium airline which shows absolutely no interest to problems of their passengers and to their misconduct. I feel robbed. If I had been focused on low price, not taking service / comfort / time of journey, I would have chosen some different airline paying less. Yet, I paid much, much more and I got absolutely long journey, poor service, absolute disrespect from Emirates hotline, and no refund. They gave me worthless bonus miles. Never again am I going to fly with Emirates - budget airlines seem to be a better option with lower prices",10,4th March 2024,Poland
7,✅ Trip Verified |  Definitely not the standard I would expect from a premium airline. Business class seats and layout are dated and service levels at gates and checking in are well below other competitors. The economy class is well below Qatar Airways too. Counter staff are unhelpful especially at the UK counters. I would have been better off trying Saudia instead. This is definitely not the experience of Emirates that I have had over 10 years ago. Qatar Airways really puts them to shame.,1,4th March 2024,United Kingdom
8,"✅ Trip Verified |  My husband and I bought tickets to do Paris Seychelles transit Dubai. On arrival in Seychelles my suitcase was not delivered to us. We wait 25 minutes. And at the end of that time, a plastic bag arrives closed with a ribbon into which a quarter of my remaining belongings are thrown. Everything else was stolen. The suitcase was therefore opened despite an empty padlock and the rest of my belongings stashed in a plastic bag. I immediately opened a dispute, sending 37 emails since January 6. I called every two days, no one answered me. I only received automatic emails, with zero follow-up concerning me. I therefore lost more than €6,000 in business, not including the round trip to Paris Seychelles. Unacceptable treatment of customers. Nous avons acheté Mon Mari et moi des billets pour faire Paris Seychelles transit Dubaï. À l’arrivée aux Seychelles ma valise ne nous est pas livré. Nous attendons 25 minutes. Et au bout de ce temps-là, arrive un sac plastique fermé par un ruban dans lequel sont jetés un quart de mes affaires Qui restait. Tout le reste a été volé. La valise a donc été ouverte malgré un cadenas vidé et le reste de mes affaires planqué dans un sac en plastique. J’ai immédiatement ouvert un litige, envoyer 37 mails depuis le 6 janvier. J’ai appelé tous les deux jours, personne ne m’a répondu. Je n’ai que reçu des mails automatiques, Avec zéro suivi me concernant. J’ai perdu donc plus de 6000 € d’affaires, sans compter l’aller-retour, Paris Seychelles. Inadmissible le traitement des clients.",3,3rd March 2024,France
9,"✅ Trip Verified | Every step of the travel, I found harassment, terrible customer support, and absolutely no help. I am treated like an economy class customer in all aspects. Check-in: 1. Rude arrogant check in staff at SFO: refused to accommodate a box that exceeded 59 inches though far underweight than half of 70 kgs allowed. Arrogant staff refused to ever entertain my request as the app clearly mentioned that I could take up to 115 inches, without mentioning additional cost over 59 inches. 2. Reached DXB. At the gate, someone came over with my name and he was not aware of hotel option despite mentioning that I received it in my last trip. When I finally approach Terminal 3 First class lounge, they gave me hotel voucher after a lot of time. Even lounge front desk didn't have that information. 3. The lounge front desk refused to help me get to chauffeur service, didn't tell me 'EXACT' steps on how to reach Arrivals. It was the most terrible experience for someone going there for the first time. The desk that manages Chauffer service was incompetent and provided inaccurate gate info where I could get car to hotel. All this exercise took 1.5 hours, eating up on my plans to go out to the city. 4. When I checked back in the following day, 27th Feb, the second bag was not loaded despite being first class, despite paying for it and despite 19 hours of transit. When I landed and waited for it at carousel, app displayed delayed bag with PIR info. 5. Apparently the customer service agents pretended that they cannot get my contact details to update the baggage claim report/PIR and kept blaming me for it. They knew the flight I was in, the bag number and access to my profile, but kept saying that they can't update me because I didn't provide phone number and email address, both were there in my Emirates profile long before my travel date. 6. No communication on missed bag despite repeated contacts with customer support. Emirates has provided the worst travel experience all around in spite of paying for first class and for additional baggage. This is my last trip with Emirates and request everyone to not waste their money/miles on Emirates. You will always hit a wall in getting somethin we think is customer service. There will be no help, no customer support, no sensitivity or understanding. All I experienced is arrogant highhandedness, no respect for customers.",1,28th February 2024,United States
